nom,type,region,province,latitude,longitude,population
Fouly,commune,Sahel,Province du Yagha,13.0917,0.8062,0
Kossi,commune,Sahel,Province du Yagha,13.17331,0.69693,0
Saborga-Kori,commune,Est,Province du Gobnangou,11.68947,1.58071,0
Kargonol,commune,Sahel,Province du Séno,14.24426,0.19583,0
Ourfaré,commune,Sahel,Province du Séno,14.10769,-0.52294,0
Palboa,commune,Est,Province du Gobnangou,11.65691,1.81019,0
Mouabou,commune,Est,Province du Gobnangou,11.60878,1.82696,0
Namponsiga,commune,Est,Province du Gobnangou,11.7302,1.76934,0
Mahadaga,commune,Est,Province du Gobnangou,11.72457,1.76588,0
Bambambou,commune,Est,Province du Gourma,12.04463,1.28747,0
Gontièdougou,commune,Cascades,Province de la Comoé,9.7856,-4.2526,0
Bouloumbougdi,commune,Centre-Est,Province du Boulgou,11.89185,-0.09915,0
Guidé,commune,Sahel,Province du Séno,13.9491,-0.5476,0
Fadio-Mèpèhn,commune,Sud-Ouest,Province du Noumbièl,9.4295,-2.7775,0
Saborga-Pera,commune,Est,Province du Gobnangou,11.67989,1.55298,0
Boudoudi,commune,Sahel,Province du Djelgodji,14.0181,-1.5171,0
Maleri,commune,Sahel,Province du Yagha,13.6612,0.5977,0
Lopiengou,commune,Est,Province du Gourma,12.0042,0.7938,0
Kindi-Kombou,commune,Est,Province du Gobnangou,11.72033,1.66432,0
Kpanpali,commune,Est,Province du Gourma,11.98503,0.80947,0
Toguiana,commune,Est,Province du Gourma,11.9663,0.845,0
Lougou,commune,Est,Province de la Komandjoari,13.02181,0.97831,0
Pk52,commune,Centre-Est,Province du Koulpelogo,11.6417,0.516,0
Pk60,commune,Centre-Est,Province du Koulpelogo,11.5743,0.53,0
Kotougou,commune,Est,Province de la Komandjoari,12.69825,0.63957,0
Sebouga,commune,Est,Province du Gobnangou,11.8509,1.51586,0
Niamanga,commune,Est,Province du Gobnangou,11.94689,1.56944,0
Bomonti,commune,Est,Province du Gobnangou,11.90051,1.54989,0
Boeinga,commune,Centre-Nord,Sandbondtenga,13.2861,-0.6394,0
Gado,commune,Centre-Ouest,Province du Sanguié,12.0039,-2.54235,0
Kodjoaari,commune,Est,Province de la Kompienga,11.3309,1.092,0
Driko,commune,Boucle du Mouhoun,Province des Banwa,12.53788,-4.26093,0
Diamahoun,commune,Boucle du Mouhoun,Province de la Koosin,12.9817,-3.81,0
